Time_ms,Cycle,Ax,Ay,Az,Force_kg
0,0,-33,15,-34,49.94
50,0,99,-81,12644,49.95
100,0,69,61,15240,49.91
150,0,-221,-156,4966,50.26
200,0,12,-65,-9142,50.1
250,0,-93,-5,-16291,50.21
300,0,112,-30,-9452,50.35
350,1,170,-206,4721,50.31
400,1,-274,32,15096,48.95
450,1,254,-155,12701,50.26
500,1,34,26,-58,49.96
550,1,194,-7,-12875,50.25
600,1,-140,-5,-15361,49.75
650,1,-245,-164,-4477,49.9
700,2,151,28,9689,50.31
750,2,-426,-108,15982,50.57
800,2,10,-29,9116,50.38
850,2,174,177,-4799,49.87
900,2,-168,-138,-15340,50.25
950,2,-21,19,-13058,50.38
1000,2,-552,-163,-58,49.71
1050,3,358,-56,13028,49.77
1100,3,325,34,15252,50.1
1150,3,271,-16,4742,50.11
1200,3,585,-90,-9411,50.49
1250,3,-154,-167,-15979,50.63
1300,3,244,13,-9121,49.94
1350,3,166,-109,5087,49.05
1400,4,517,-160,15218,49.75
1450,4,-133,-91,13218,49.82
1500,4,65,-175,-248,50.03
1550,4,685,-26,-12945,50.35
1600,4,-36,-22,-15480,50.54
1650,4,297,4,-5281,50.69
1700,4,15,-107,9548,50.61
1750,5,-57,147,16042,49.5
1800,5,-470,-94,9470,49.75
1850,5,434,-59,-4780,50.1
1900,5,155,-5,-15128,49.55
1950,5,26,14,-12720,49.71
2000,5,85,160,121,50.5
2050,5,33,93,12887,50.09
2100,6,358,-106,15324,50.04
2150,6,68,-115,5005,49.3
2200,6,-298,-3,-9285,50.34
2250,6,135,-59,-16300,49.92
2300,6,146,-112,-9302,49.7
2350,6,-213,-16,5148,50.15
2400,6,-558,14,15673,49.99
2450,7,570,-55,12927,49.87
2500,7,105,-104,-88,50.89
2550,7,-84,-34,-12935,49.72
2600,7,-50,119,-14820,49.15
2650,7,949,-141,-4887,49.59
2700,7,141,14,9297,49.39
2750,7,-480,-98,15953,50.51
2800,8,-587,-58,9500,50.49
2850,8,168,-24,-4520,50.55
2900,8,14,-4,-15390,49.5
2950,8,-345,-132,-13043,50.22
3000,8,-693,-88,128,49.53
3050,8,21,45,13252,50.17
3100,8,-202,97,15072,49.83
3150,9,999,-58,5043,50.39
3200,9,-66,176,-9346,50.24
3250,9,-119,-12,-16285,50.59
3300,9,-676,-245,-9677,50.3
3350,9,103,-131,4925,49.96
3400,9,98,-17,14817,49.5
3450,9,-57,79,13107,50.39
3500,10,-156,-113,-132,49.94
3550,10,74,-91,-12917,49.12
3600,10,515,-51,-15148,49.7
3650,10,-20,-181,-5064,49.79
3700,10,553,39,9420,49.94
3750,10,200,-168,15863,50.4
3800,10,-229,144,9492,50.11
3850,11,165,-95,-5326,50.22
3900,11,117,-258,-15130,49.99
3950,11,390,135,-12795,49.53
4000,11,230,-246,-411,50.71
4050,11,-342,145,13000,50.63
4100,11,88,-128,14845,50.25
4150,11,412,-197,4853,50.03
4200,12,-248,-33,-9045,50.11
4250,12,194,-45,-16145,50.07
4300,12,237,-71,-9056,49.61
4350,12,369,-69,4789,49.73
4400,12,184,-66,15187,50.17
4450,12,248,12,12913,50.29
4500,12,-282,-129,-171,49.94
4550,13,-13,102,-12777,49.59
4600,13,-464,-93,-15219,50.9
4650,13,-75,-26,-5244,49.96
4700,13,-227,123,9255,49.8
4750,13,-111,40,15842,49.92
4800,13,218,19,9505,49.71
4850,13,339,-134,-5056,50.55
4900,14,246,-54,-14985,49.83
4950,14,-189,-147,-12838,49.51
5000,14,-636,-18,49,49.73
